id,title,owner_id,description,price,city,state,country,tag_line,address,postcode,latitude,longitude,guests,bedrooms,beds,baths,pets,url
16,Unique and Secluded AirShip with Breathtaking Highland Views,11,"Retreat to the deck of this sustainable getaway and gaze at the twinkling constellations under a cosy tartan blanket. AirShip 2 is an iconic, insulated aluminum pod designed by Roderick James with views of the Sound of Mull from dragonfly windows. Airship002 is comfortable, quirky and cool. It does not pretend to be a five star hotel. The reviews tell the story. If booked for the dates you want check out our new listing The Pilot House, Drimnin which is on the same 4 acra site.

The kitchen has a toaster, electric kettle, tefal halogen hob, combination oven/microwave. All pots and pans, plates, glasses ,cutlery provided. All you will need to bring is your food. worth stocking up on your way in as Lochaline is the nearest place to shop which is 8 miles away.

The AirShip is situated in a beautiful, secluded position on a four-acre site. Stunning views reach across the Sound of Mull towards Tobermory on the Isle of Mull and out to sea toward Ardnamurchan Point.
The space
The kitchen has a toaster, electric kettle, tefal halogen hob, combination oven/microwave. All pots and pans, plates, glasses ,cutlery provided. All you will need to bring is your food. worth stocking up on your way in as Lochaline is the nearest place to shop which is 8 miles away.",217,Oban,,UK,Stunning views,796 Center Street,93721,56.61371,-5.985858,2,1,1,1,FALSE,https://www.airbnb.com/rooms/plus/19997279?adults=1&category_tag=Tag%3A8225&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=635202582&search_mode=flex_destinations_search&check_in=2024-01-27&check_out=2024-02-01&source_impression_id=p3_1692408004_l4NB8%2FWu2wNcnn%2Br&previous_page_section_name=1000&federated_search_id=4a73c4e5-364f-4d21-904e-19fe0b56e803 
17,EAGLE'S WATCH MALIBU- Architectural w/ Ocean View,5,"Eagle's Watch is one of Malibu's most famous houses, impossible to miss while driving the Pacific Coast Highway and designed by legendary architect Harry Gesner. Perched above the Pacific Ocean, Eagle’s Watch has the best unobstructed panoramic view in Malibu. Perfect for entertaining with dramatic outdoor and indoor spaces, the views from every location are simply stunning. Stay in ultimate luxury in this one of a kind serene modern marvel.
The space
——Ask about our new hot tub——

Eagle's Watch is one of Malibu's most famous houses, impossible to miss while driving the Pacific Coast Highway and designed by legendary architect Harry Gesner. Perched above the Pacific Ocean, Eagle’s Watch has the best unobstructed panoramic view in Malibu. Perfect for entertaining with dramatic outdoor and indoor spaces, the views from every location are simply stunning. Stay in ultimate luxury in this one of a kind serene modern marvel.

This spectacular 3 bedroom 3 1/2 bath home is quiet and secluded, but there are many activities near by. A short walk or drive to the beach for surfing, stand up paddle boarding, kayaking, beach volley ball, or just lounging around. There are also local hiking trails with amazing views of the Malibu coastline. Malibu boasts numerous great restaurants and the popular Malibu Colony for shopping and your entertainment.
Guest access
Street, and incline elevator access. Not handicap acceptable, there are stairs.
Other things to note
We have many local insider tips to the best beaches, the best hikes, the best places to eat. We can give you tips to where to go for the best drink, or the most romantic dinner. We live near the home so if any issues come up we will be close by to help you as well.",1084,Moultonborough,NH,USA,Ocean views,3254 Highland View Drive,95928,43.6988655,-71.3285165,8,3,3,3.5,FALSE,https://www.airbnb.com/rooms/3156442?adults=1&category_tag=Tag%3A8225&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=415173370&search_mode=flex_destinations_search&check_in=2023-09-29&check_out=2023-10-04&source_impression_id=p3_1692408004_zO5hqJgF4yvjoCe6&previous_page_section_name=1000&federated_search_id=4a73c4e5-364f-4d21-904e-19fe0b56e803 
18,Norman Lykes House,7,"Designed by Frank Lloyd Wright, this oasis in Phoenix has been designed to effortlessly blend with the desert landscape. City lights and rocky Palm Canyon stun beyond curved windows as each spacious room flows into the next. Philippine mahogany, Italian rose marble, and handpicked Indian slate floors are just some of the home’s elevated details. Jump into the crescent pool for an instant refresh.

Copyright © Luxury Retreats. All rights reserved.


BEDROOM & BATHROOM
• Bedroom 1 - Primary: Queen size bed, Ensuite bathroom
• Bedroom 2: King size bed, Ensuite bathroom
• Bedroom 3: Queen size bed


FEATURES & AMENITIES
• City Lights
• More under “What this place offers” below

STAFF & SERVICES

Extra Cost (advance notice may be required):
• Activities and excursions
• More under “Add-on services” below",1121,Phoenix,AZ,USA,,3380 Gateway Avenue,93301,33.4496836,-111.9990866,6,3,3,3,TRUE,
19,"Whiskey Hollow, A Cozy Cabin in the Redwoods",9,"Romantic retreat! Wake up to bird song through the skylights, lounge on the deck under the redwoods with a cup of coffee, luxuriate in the oversized bathtub with candles, and cozy up in front of the wood fireplace. Whiskey Hollow is a true get-away! Nestled in the woods, you would never guess that you're only 2 miles from downtown Felton, 1.5 miles from Henry Cowell State Park, 15 minutes from downtown Santa Cruz, and 20 minutes to the beach. Super cozy and--did we mention? Romantic!!!
The space
Charming, cozy, peaceful, this A-Frame cabin in the woods is the perfect place for a romantic get-away. Snuggle up in the comfy queen bed in the loft, and morning will greet you with a stunning view of the redwoods without even having to leave the bed. (Did we mention it's romantic??)

When you do muster the energy to start your day, a fully equipped kitchen awaits and provides the opportunity to cook a big breakfast, lunch or dinner. Felton offers two nearby markets: Wild Roots and Safeway. If you decide you'd like to barbecue, there is a charcoal grill on the lower deck for your use. Take a seat in one of the Adirondack chairs or at the picnic table while you wait for dinner to finish and enjoy the view--you will see lots of birds and squirrels, and may see deer or our local flock of wild turkeys!

The main level of the home consists of a sweet bedroom (full bed), a dining/work area, a living room with a sofa, a loveseat and a large ottoman, a wood-burning stove, television and an entire wall of windows that look out onto sun-dappled forest. Additionally, you'll find the fully-equipped kitchen and the bathroom with a generous two-person tub you may never want to leave.

The upstairs loft has a mini office (with a lovely view!) at the top of the stairs. At the far end of the loft is the cozy queen bed, two luggage racks and an area to hang clothes.

In case you need an iron and ironing board, you will find them on the lowest level.

Consider Whiskey Hollow your home away from home. During your visit, please feel free to enjoy the television, board games, books, popcorn, coffee and tea. And remember: the kitchen is fully equipped, so if you'd rather whip something up than get takeout, you're all set.

During the summer, we have a window air conditioning unit. Combined with the ceiling fans and the fan setting on the thermostat, this keeps the cabin nice and cool.

Note to families: Both sets of stairs are fairly steep, and there is a stairway off the deck. There is no baby/toddler/child-proofing in the house, so please proceed with caution if you elect to bring the little ones. If you are bringing the little ones, let us know--we will set out the bins of Legos and trains!

Felton is in a forested area, and fire is a very real hazard in the dry months.
Please leave coals and ash in the fireplace or the barbecue so that we may dispose of them safely. Also: Absolutely no smoking or vaping inside or outside the home. Thank you for protecting our home and our neighborhood.

We do live here part-time, so while the cabin will be clean and uncluttered, you will see some personal items (i.e. clothes, shoes, books) tucked away.

We have a sweet dog too and, though the house will be clean for your arrival, if you are allergic to dogs, this may not be a good fit for you.

*Important Note: Our community - Felton - was one of those threatened by the CZU Lightening Complex wildfire, which included forced evacuation on 8/20/20. On 8/29/20 we were cleared to re-enter our home which experienced NO damage (blessings counted...whew!!!!). While Felton was completely untouched by the fires, several communities and state parks to the north experienced damage. Santa Cruz (including beaches) and the portion of Henry Cowell State Park within Felton proper were not damaged. If you choose to stay at Whiskey Hollow, it's possible that you may not even be aware that it was in the path of the wildfires, particularly if your activities take you to the coast or south. That said, if you would like more information before you book, please don't hesitate to message us. We look forward to hosting you!
Guest access
Guests will have access to the entire house minus one bedroom on the first floor, a storage room in the basement and a detached shed, all locked and unoccupied.
Other things to note
We would just like to say: we LOVE hosting! We are not on-site, but we do love creating a space that surprises and delights! Whiskey Hollow has been on Airbnb for over 3 1/2 years, and while we were initially nervous about sharing our home with folks we had never met, the experience has been surprisingly rewarding. We have hosted guests on their honeymoons, babymoons, anniversaries, birthdays, girls' weekends, and more. And our favorite thing? Hosting repeat guests. We find Whiskey Hollow to be a really special place, and when guests decide to return, we believe it is because this little cabin in the woods is special to them, too.

Okay. On to the details.

Please be sure to read through the House Manual upon check-in. It will help you make the most of your stay, as well as remind you of a few requests we make to keep you and our home in good shape. Also, if you have any suggestions for how we can make this amazing place even better, we'd love to hear from you. Please leave us a note at the house or private message us. And of course, if you run into any issues during the course of your stay, do not hesitate to contact us.

Finally, if you have your heart set on escaping to Whiskey Hollow, we recommend booking sooner rather than later. We tend to fill up, especially around holidays and other events.",349,Orangetree,FL,USA,,171 Par Drive,93101,26.2893682,-81.5756376,4,2,2,1,FALSE,https://www.airbnb.com/rooms/34446612?adults=1&category_tag=Tag%3A5348&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1383008915&search_mode=flex_destinations_search&check_in=2023-11-03&check_out=2023-11-08&source_impression_id=p3_1692418817_jwx0vfIBm%2FLeYgTB&previous_page_section_name=1000&federated_search_id=2222b29e-f180-417a-acc3-b75a3ce2aab8 
20,"Unbelievable Views of Lake Tahoe in Marla Bay,",14,"Presented & Managed by Tahoe All Seasons Properties

When one thinks the views of Lake Tahoe could not get any better, this fantastic home takes the win. The stunning home is in desirable Marla Bay in Zephyr Cove, Nevada, with panoramic views from the back deck, living room, and living room. The multiple shades of blue water and the mountain snowy white cap reflection will take your breath away. It is easy to picture yourself here, lounging on the back deck, absorbing the California sun and
The space
Enter the private community of Marla Bay, and drive through the quiet streets to the end of a road. There you will find a fenced entrance to a home with the most spectacular views in Lake Tahoe. The design is a mix of classic Tahoe nostalgia and modern amenities. Enter the home through the gated fence and naturally landscaped front yard to the right of the house. Open the door to wood cathedral ceilings and large windows facing unbelievable views of Lake Tahoe.



Relax in the living room observing the lake, cozying up to the wood-burning fireplace, or catching up on your favorite cable or subscription app shows. Prepare a gourmet meal or cocktails in the utensil-stocked updated kitchen featuring granite counters, stainless steel appliances, and five burners electric stove. Or bring the meal outdoors and grill up some favorite meals on the BBQ. Enjoy your meal and drinks on the deck or at the eight-person dining room table while never taking an eye off the majestic lake. Off the back deck, stairs lead to the private boat dock created by boulders and natural landscaping, which curves around, creating a little cove for swimming. There are no other homes in Marla Bay like this.



The floor plan is perfect for privacy, with two bedrooms on each floor and a bathroom between the rooms. The four bedrooms have comfortable bedding, linens, and closet space for luggage. The two bathrooms have walk-in showers, tiled floors and walls, and natural lighting. There is a washer and dryer in one of the bedrooms downstairs, which leads to the hot tub on the side deck.



Not only is the house amazing but the location is prime for venturing out. Travel to Heavenly Ski resort, hike several mountains or through beautiful meadows, walk the nearby beach or Nevada Beach, go golfing at Edgewood Golf Course, do some shopping at Heavenly Village, and so much more within a 15 min drive.



Enjoy the life of luxury and endless views of Lake Tahoe on your next vacation in this home.

***PLEASE NOTE: NEW HOME BEING BUILT NEXT DOOR WHICH MIGHT CAUSE SOME NOISE***",1026,Aptos,CA,USA,Lake Tahoe views,1331 Freedom Lane,95202,36.9627707,-121.8712708,8,4,4,2,TRUE,https://www.airbnb.com/rooms/623943401509054565?adults=1&category_tag=Tag%3A8522&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1434261633&search_mode=flex_destinations_search&check_in=2023-10-22&check_out=2023-10-27&source_impression_id=p3_1692419054_BK%2FPA2rqchsnHp27&previous_page_section_name=1000&federated_search_id=77128fb9-d4e3-4144-9da2-3c5bd8cf6fd3 
21,Beautiful big house sitting in Silver Terrace,2,"Our family has been living here for about 20 years. 2beds/2baths. This is a very convenience location and the house is spacious. Our kids have grown up in this house. We have a wall was painted by our kids and we hope our customers won't mind we keep the wall untouched. Spacious bedrooms, bathrooms, laundry is on site and free. Security garage parking. You have a host on site in case you have any questions however, the check in and stay are contactless.
Co-hosted by a Superhost!
The space
Potential noise from the main Street's traffics, but a very convenient location.

This house needs to climb up stairs.
Guest access
We access the courtyard on every Sunday and Monday or Tuesday to roll our trash cans in and out. Garage parking and yard have security camera for security purpose.

Garage parking: Garage parking one spot for customer and the other one is for owner's car.
Other things to note
Exterior cameras in the garage, side gate, backyard and front entrance.
No cameras or surveillance devices inside the guest space.

We need to access the back yard to roll out trash cans and roll back on certain days

If you decide to drive during your trip, be aware that parking anywhere in San Francisco is extremely DIFFICULT. Pay special attention to street signs. We highly recommend to consider use car service like Lyft and Uber to get around. It saves me time and headache of finding a parking spot once you arrive at my destination.

In the City of San Francisco, loud noise is prohibited inside all residential properties between 10:00 p.m. and 7:00 a.m. S.F., CAL., POLICE CODE § 2909.",205,San Francisco,CA,USA,Security Garage Parking,1024 Maxwell Farm Road,95926,37.7749295,-122.4194155,4,2,2,2,FALSE,https://www.airbnb.com/rooms/643399323243903269?adults=1&category_tag=Tag%3A8536&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1436290396&search_mode=flex_destinations_search&check_in=2023-09-15&check_out=2023-09-20&source_impression_id=p3_1692419481_FzF1O2YnOkbYzbCW&previous_page_section_name=1000&federated_search_id=b71bb934-183b-4e73-ba1c-0402b5613285 
22,MICA - Panoramic view close to Quebec City,8,"The ""MICA"", high-end micro-hosting located in the heart of the boreal forest. Live the immersive experience of nature just 25 minutes from Old Quebec. Enjoy panoramic views of Laurentian Park and breathtaking sunsets at the highest peak of Beauport Lake.
The space
With its minimalist design, clean lines and maximum windows, this tiny house erases into its surroundings, giving way to nature's sight. Taking its name from the mineral with blonde hues and silver reflections that make up the characteristic rocky outcrops of Mont Tourbillon, MICA clings to the mountain and fits perfectly into its environment.
Other things to note
WINTER ACCESS: From November 1 to April 15, an all-wheel drive (awd) or 4x4 car is required to access the chalet.

Movements between the 2 floors are made by a ladder located inside the micro-house or by the staircase located outside.",295,La Jacques-Cartier Regional County Municipality,QC,Canada,,723 Jim Rosa Lane,94110,46.9422313,-71.2993659,4,2,4,1,FALSE,https://www.airbnb.com/rooms/46695796?adults=1&category_tag=Tag%3A8225&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1132231851&search_mode=flex_destinations_search&check_in=2024-05-02&check_out=2024-05-07&source_impression_id=p3_1692419759_2DBlXhT9Ref75ZkO&previous_page_section_name=1000&federated_search_id=923e0b2e-d8ba-4278-a636-c56266ed70c6 
23,Villa Harrah,8,"Lakefront resort-like estate near Zephyr Cove
The space
With walls of windows that soar above the lake, this light-filled villa looks like it's floating on water. Wander from the full cinema, wet bar, and pool table to a deluxe spa with a sauna, hot tub, salt room, and even a nail and hair salon. A large terrace lead to a pool, sandy beach and private pier, and the balconies seem endless. You're just minutes from Zephyr Cove Beach and Edgewood Tahoe Golf Course.

Copyright © Luxury Retreats. All rights reserved.


BEDROOM & BATHROOM
• Bedroom 1 - Primary: King size bed, Ensuite bathroom with stand-alone steam shower and oversized bathtub, Dual vanity, Bidet, Walk-in closet, Television, Sofa, Lounge area, Air conditioning, Private balcony, View of Lake Tahoe
• Bedroom 2: King size bed, Ensuite with stand-alone shower and oversized bathtub, Dual vanity, Bidet, Walk-in closet, Television, Air conditioning, Direct access to terrace, View of Lake Tahoe
• Bedroom 3: King size bed, Ensuite bathroom shared with stand-alone shower and bathtub, Air conditioning
• Bedroom 4: Queen size bed, Ensuite bathroom with stand-alone shower, Air conditioning, Private balcony, View of Lake Tahoe
• Bedroom 5: King size bed, Ensuite bathroom with stand-alone shower and bathtub, Walk-in closet, Television, Lounge area, Sofa, Fireplace, Air conditioning, Direct access to terrace, View of Lake Tahoe
• Bedroom 6: 3 Queen size bunk beds, Ensuite bathroom with stand-alone shower, Walk-in closet, Direct access to terrace, View of Lake Tahoe

Additional Bedding
• Spare Room: Murphy bed, Ensuite bathroom with stand-alone shower


FEATURES & AMENITIES
• Home theatre
• Nail and hair salon


OUTDOOR FEATURES
• Private pier
• Terrace

STAFF & SERVICES

Included:
• Caretaker (lives onsite)

Extra cost (advance notice may be required):
• Activities and excursions
• Laundry service
• More under “Add-on services” below",20000,Almaden,CA,USA,Lakefront estate,3668 Reynolds Alley,92801,37.1961057,-121.890719,10,7,12,7.5,FALSE,https://www.airbnb.com/luxury/listing/27629013?adults=1&category_tag=Tag%3A8528&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=743537723&search_mode=flex_destinations_search&check_in=2023-08-20&check_out=2023-08-26&source_impression_id=p3_1692421623_XPzkp%2FHNQw3%2Fqikk&previous_page_section_name=1000&federated_search_id=107aa788-81f7-46c5-aeef-10e0783e30b8 
24,Historic Baker House available for the first time,10,"As seen in Dwell, Turnbull's Baker House is a Sea Ranch classic Binker Barn resting on 2 acres of redwoods. While it was built in 1968, it's been updated to make sure you have everything you need for a private and relaxing stay: the separate office has monitors and 300+ Mbps internet, the kitchen is fully-equipped, and the garage has a level 2 EV charger and a Peloton. Enjoy the outdoors year-round from the hot tub or the Galanter & Jones heated furniture that overlooks the forest and ocean.
The space
As our family's retreat home, Baker House has everything you need to take care of young children. We're happy to share our high chair, nursery, and stroller with families looking for a quiet nature stay.

The kitchen is complete with Viking and Miele appliances and just about anything you'd need to cook or bake, including a standing mixer, food processor, Shun knives, and a pasta maker. If we're missing something, please just let us know so we can stock it!

Our home features contemporary artists of the Pacific Northwest.

During your stay, you may use our passes to Sea Ranch's facilities so that you can park anywhere, use the tennis courts, and swim in the pools.
Guest access
There is plenty of parking on site. You can walk to nearby trails or LyndonDesign Gallery. Everything else is a short drive away.
Other things to note
The house has many updates, but it is still a cabin barn built in the 1960s. I.e., it might blow a fuse when you use two appliances at once. Some air might creep in through the top floor window. (We hope not, but you might need to plunge a toilet.)

The studio bedroom is separate from the bathrooms and requires a short walk outside.

The house is in the Sea Ranch forest, which means sometimes critters and creatures (such as mice or insects) like to come inside. We take standard remediation initiatives, but every once in a while, a mouse might sneak in.",762,Sea Ranch,CA,USA,,2233 Doctors Drive,92614,34.414179,-119.755288,6,4,3,2,FALSE,https://www.airbnb.com/rooms/50139338?adults=1&category_tag=Tag%3A8528&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1198430574&search_mode=flex_destinations_search&check_in=2023-09-16&check_out=2023-09-21&source_impression_id=p3_1692421623_pnoFjb4vYEQTPc1w&previous_page_section_name=1000&federated_search_id=107aa788-81f7-46c5-aeef-10e0783e30b8 
25,The Pine Mountain Lakehouse near Yosemite,6,"The Lakehouse is an idyllic 4-BR, 3-bath cabin nestled on the shores of Pine Mountain Lake. It is only 26 miles from Yosemite, 2.2 miles from a grocery store, 2.5 miles from downtown Groveland, and is suitable for up to 8 adults (10 if two pairs don't mind sharing double beds). We love sharing our space with travelers who want a taste of home while exploring the mountains! Please read to the end of the description before booking to ensure that our space is a good fit for you.
The space
If you are looking for a serene, tranquil place of relaxation with family and friends, then this is the place for you! We have zero tolerance for excessive noise, undisclosed guests, and parties; we respect our neighbors and our peaceful community. Please ensure our space is suitable for your needs before booking.

This is our family cabin and has been beautifully furnished to be our blissful, comfortable mountain escape. It is tucked away in a safe, quiet gated community. You'll have access to the whole house and modern comforts like a smart lock that makes self-check-in a breeze, a Nest thermostat, speedy Wi-Fi, and an Amazon Alexa speaker equipped with Amazon Music.

GATED COMMUNITY INFO
The house is located in the gated community of Pine Mountain Lake. It has its own community standards and guidelines which must be respected while you enjoy all it has to offer! You must enter through the main PML gate in order to reach the house, at which point you will be asked for $44 (as of 2023 - subject to change on a yearly basis) per vehicle for a guest access permit which you must keep in your car for the duration of your stay. This pass gives you access to the community and its amenities, including an equestrian center, golf course, and marina! Quiet hours in the community are 10PM-7AM and must be observed.

ROOMS
Bedroom 1 (en-suite bathroom) - 1 King Bed (Sleeps 2)
Bedroom 2 - 1 Queen Bed (Sleeps 2)
Bedroom 3 - 1 Queen Bed (Sleeps 2)
Bedroom 4 - 2 Double Beds (Sleeps 4 children or 2 adults comfortably)

LAKE
The east-facing wraparound upper deck offers stunning views of the lake. The property has its own dock, lakeside pergola, propane fire table, and shore access. Life vests, kayaks, and paddleboards are provided for your enjoyment! Please note that the lake can be quite cold in the winter and spring due to snow in the sierras.

KITCHEN
Cook something delightful in the fully-stocked kitchen. It has top-of-the-line stainless steel appliances, gas stove, microwave, toaster, dishwasher, all tied together with gorgeous granite countertops and an island for social cooking. A coffeemaker and coffee is always available in the kitchen.

LIVING ROOM
The spacious, open living area is connected to the kitchen, WiFi, 75” 4k Smart HDTV, Amazon Alexa connected to Amazon Music, and a comfortable motorized reclining leather sofa.

DINING AREAS
Gorgeous indoor dining area surrounded by windows can seat 8 and is adjacent to the kitchen. For warm nights you can use the deck dining table, also seats 8, which has stunning lake views.

LAUNDRY
High-efficiency washer and dryer for your group to use in the downstairs master bathroom.

PARKING
The house has a 2-car garage and room for up to 3 cars in the driveway. There is no street parking; the maximum number of vehicles the house can accommodate is 5.

YOSEMITE NATIONAL PARK
The Yosemite gate is 26 miles from the house and is typically a 40-minute drive. The valley itself is another 24 miles beyond, however, this leg has gorgeous views of mountain vistas, pine forests, crystal clear rivers, and initial views of Half Dome and the valley that will take your breath away. The drive from the house all the way to the valley floor is ~75 minutes.

GROCERY SHOPPING
We are 2.2 miles from our local Mar-Val grocery store. It has a good selection, but if you desire something more specialized you may want to bring it up with you! You'll have plenty of space for storage in the kitchen cupboards and fridge.

DINING
Pine Mountain Lake has a grill in the community which offers sweeping views of the mountains and golf course. Downtown Groveland also has several delicious restaurants and unique shops. A list of our recommendations will be available to you in the guest handbook.
Guest access
Keyless entry into the home means that we do not have to be present for you to arrive! It’s the ultimate gadget for flexibility. We’ll simply tell you your personalized code for your stay and you can let yourself in and out as you please. You will receive detailed check-in instructions 48 hours before your arrival.
Other things to note
FAQs

Q: Do you offer discounts?
A: Yes! We offer weekly and monthly discounts for longer stays.

Q: Can I bring my own boat/kayak/paddleboard/water craft?
A: Unfortunately no, PML only allows homeowners to launch their boats on the lake. All other smaller water crafts must be registered and permitted with the marina before entering the lake. We provide kayaks and paddle boards that are already permitted, so feel free to use these during your stay!

Q: Why are prices different depending on which days I select?
A: We use automated pricing software that sets nightly prices based on demand and comparable properties. Rates change based on a variety of factors and we typically just let the software do its thing.

Q: Can I have an early check-in or late check-out?
A: We do our best to accommodate these requests whenever possible! We usually cannot commit to an answer until approximately a week in advance of your reservation, so send us your request as your reservation approaches and we'll see what we can do for you.

Q: Do we have to do chores at check-out?
A: Upon check-out, we ask that guests do their dishes and take out the trash so there isn't anything that attracts unwanted critters between your departure and our cleaning crew's arrival. Thank you for your understanding and support!

A NOTE ON LIMITED MOBILITY & ALLERGIES
The property is on a slope and has many stairs both inside and out, so it may be difficult to navigate for those with limited mobility. Also, please know that we must accept service animals by law; while we do our very best to keep everything as clean as possible, the cabin is not suitable for those with allergies.",677,Groveland,FL,USA,Lakeside cabin,4928 Freed Drive,95370,28.6457905,-81.8356452,10,4,5,3,FALSE,https://www.airbnb.com/rooms/45380567?adults=1&category_tag=Tag%3A8522&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1409928543&search_mode=flex_destinations_search&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1692422816_AaelD1kH8fvI01PH&previous_page_section_name=1000&federated_search_id=4b082b35-65ea-47a6-9ca8-431e912ecab8
